task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/69/L0,17-24,6,6,6,,-12,12,global_gap_early_commit,primary,0.9921875,0.99609375,0.99609375,10.0,6.0,13.0,0.8656657534893312,0.7804785047973799,tie_fail;missed_failed_long;unchanged_fail,tie_fail,18,False,False,False,
SingleLineInfilling/HumanEval/71/L0,17-24,9,9,9,,-12,12,global_gap_early_commit,primary,0.94140625,0.875,0.97265625,7.0,9.0,15.0,0.739863131421665,0.7444438354069532,tie_fail;missed_failed_long;unchanged_fail,tie_fail,21,False,False,False,
SingleLineInfilling/HumanEval/71/L3,25+,16,16,16,,-13,13,global_gap_early_commit,primary,0.84375,0.87109375,0.984375,4.0,16.0,16.0,1.0056890632485844,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,29,False,False,False,
SingleLineInfilling/HumanEval/78/L0,17-24,8,8,8,,-14,14,global_gap_early_commit,primary,0.58203125,0.6484375,0.84375,8.0,8.0,13.0,0.706201009425507,0.8720307717642912,tie_fail;missed_failed_long;unchanged_fail,tie_fail,22,False,False,False,
SingleLineInfilling/HumanEval/80/L5,25+,20,20,20,,-14,14,global_gap_early_commit,primary,0.98046875,0.94140625,0.9921875,3.0,20.0,20.0,1.103402179330906,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,34,False,False,False,
SingleLineInfilling/HumanEval/87/L0,25+,5,5,5,,-30,30,global_gap_early_commit,primary,0.76953125,0.859375,0.88671875,12.0,5.0,13.0,0.6196344340765739,0.6458511633588286,tie_fail;missed_failed_long;unchanged_fail,tie_fail,35,False,False,False,
SingleLineInfilling/HumanEval/89/L4,17-24,3,3,3,,-16,16,no_remaining_masks,primary,0.5703125,0.77734375,0.86328125,21.0,3.0,13.0,0.8064359914084822,0.8745614267811876,tie_fail;missed_failed_long;unchanged_fail,tie_fail,19,False,False,False,
SingleLineInfilling/HumanEval/90/L1,17-24,13,13,13,,-4,4,global_gap_early_commit,primary,0.84765625,0.8046875,0.94140625,4.0,13.0,13.0,0.7289816871489105,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/91/L1,17-24,7,7,7,,-10,10,global_gap_early_commit,primary,0.9375,0.94140625,0.9609375,8.0,7.0,13.0,0.8337728046765663,0.7752034986456886,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/92/L1,17-24,4,4,4,,-13,13,global_gap_early_commit,primary,0.9765625,0.98046875,0.98828125,14.0,4.0,20.0,0.7761218719022474,0.7255139168551713,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/92/L2,17-24,9,9,9,,-14,14,global_gap_early_commit,primary,0.55078125,0.6953125,0.89453125,7.0,5.0,15.0,0.6479546678910234,0.6784118316233297,tie_fail;missed_failed_long;unchanged_fail,tie_fail,23,False,False,False,
SingleLineInfilling/HumanEval/93/L1,17-24,6,6,6,,-18,18,global_gap_early_commit,primary,0.765625,0.83984375,0.8828125,10.0,6.0,16.0,0.627402351384438,0.6556534510681615,tie_fail;missed_failed_long;unchanged_fail,tie_fail,24,False,False,False,
SingleLineInfilling/HumanEval/93/L3,17-24,3,3,3,,-21,21,global_gap_early_commit,primary,0.484375,0.484375,0.65625,21.0,3.0,13.0,0.2961488104042449,0.44085605136371414,tie_fail;missed_failed_long;unchanged_fail,tie_fail,24,False,False,False,
SingleLineInfilling/HumanEval/94/L9,17-24,9,9,9,,-9,9,global_gap_early_commit,primary,1.0,1.0,1.0,7.0,9.0,16.0,0.8857444960721477,0.7793879674359528,tie_fail;missed_failed_long;unchanged_fail,tie_fail,18,False,False,False,
SingleLineInfilling/HumanEval/95/L16,25+,15,15,15,,-14,14,global_gap_early_commit,primary,0.89453125,0.89453125,0.95703125,4.0,15.0,15.0,1.0155885220135898,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,29,False,False,False,
